VOA Reference,Property Description,Address1,Address2,Address3,Address4,Address5,Post Code,Empty Date
0000226848N,STORE AND PREMISES,Unit 13D,Oakway Court,Meadowfield,Durham,,DH7 8XD,20170304
0000286783N,TIPPING SITE AND PREMISES,Joint Stocks Waste Disposal  Site,Coxhoe,Durham,,,DH6 4HH,20130601
0000317556N,STABLE,J G Cook Brewery Buildings,Kelloe,Durham,,,DH6 4PT,20150401
0000371801N,WORKSHOP AND PREMISES,Mabey Hire Co Ltd,Bowburn,Durham,,,DH6 5AN,20110201
0000432849N,STORES,Old Ammunition Dump,Brasside,Durham,,,DH1 5SF,20090401
0000435671N,STORE AND PREMISES,Basement Store,Miners Hall,Red Hill,Durham,,DH1 4BD,20151207
0000436340N,OFFICES AND PREMISES,Room 22-25,Miners Hall,Red Hill,Durham,,DH1 4BD,20151207
0000437904N,STORE AND PREMISES,Accomodation Level 3A Store 2,Land Of The Prince Bishops,Durham,,,DH1 3UJ,20110214
0000439914N,OFFICE AND PREMISES,Room 16,Miners Hall,Red Hill,Durham,,DH1 4BD,20170201
0000439926N,OFFICE AND PREMISES,Room 17,Miners Hall,Red Hill,Durham,,DH1 4BD,20170201
0000440901N,COMMUNICATION STATION AND PREMISES,Hutchinson 3G UK Ltd,Site No DH0046 At Marriott Royal County Hotel,Old Elvet,Durham,,DH1 3HL,20100105
0000440963N,COMMUNICATION STATION AND PREMISES,Hutchinson 3G UK Ltd,Site No DH0010,Rotary Way,Durham,,DH1 5RN,20090722
0000443305N,WAREHOUSE AND PREMISES,Unit 10 Sunflag Industrial Park,Belmont Industrial Estate,Belmont,Durham,,DH1 1ST,20131220
80,LAND USED FOR STORAGE AND PREMISES,Adj  2A,Tudhoe Industrial Estate,Spennymoor,Co Durham,,DL16 6TL,20000401
211,BETTING SHOP AND PREMISES,2-4 Albert Street,Shildon,Co Durham,,,DL4 2DW,20140124
2262,STORE AND PREMISES,1A Barnfield Road,Spennymoor,Co Durham,,,DL16 6EB,20140220
3427,SHOP AND PREMISES,10-14 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DP,20041025
3436,OFFICES AND PREMISES,2nd Flr,2A Beveridge Way,Newton Aycliffe,Co Durham,,DL5 4DP,20091211
3437,SHOP AND PREMISES,20 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DP,20140214
3445,SHOP AND PREMISES,28 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DP,20131014
3452,SHOP AND PREMISES,35 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DU,20140805
3454,SHOP AND PREMISES,37 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DU,20160402
3465,SHOP AND PREMISES,44 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DS,20061029
3470,SHOP AND PREMISES,50 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DS,20140822
3471,STORE AND PREMISES,51 Beveridge Way,Newton Aycliffe,Co Durham,,,DL5 4DU,20131130
4047,DAY NURSERY AND PREMISES,Little Acorns Nursery,Durham Way North,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6HP,20160122
4063,FACTORY AND PREMISES,(Bldg 12/J 732),Durham Way South,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6XN,20161013
4083,WORKSHOP AND PREMISES,(Bldg 12/A 310),Howden Road,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6EU,
4086,FACTORY AND PREMISES,Unit 1,Hurworth Road,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6UD,20160101
4103,OFFICES AND PREMISES,(Bldg 12/B 716E) Unit 5,Leaside,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6HX,20161012
4120,WAREHOUSE AND PREMISES,Unit 7 Northfield Way,Aycliffe Business Park,Newton Aycliffe,Co Durham,,DL5 6EJ,20170119
4129,WAREHOUSE AND PREMISES,(Bldg 12/M 725A) Unit 24,Northfield Way,Aycliffe Business Park,Newton Aycliffe,Co Durham,DL5 6EJ,20170326
5050,BRICKWORKS AND PREMISES,Eldon Brickworks,Eldon,Bishop Auckland,Co Durham,,DL14 8EA,20160331
6963,RECREATION ROOM AND PREMISES,Adj Secondary Modern Sch,Central Avenue,Newton Aycliffe,Co Durham,,DL5 5QH,20151010
7307,PUBLIC HOUSE AND PREMISES,The New King William,1 Cheapside,Shildon,Co Durham,,DL4 2HW,20160826
7728,SHOP AND PREMISES,Piggys,2 Broom Road,Ferryhill,Co Durham,,DL17 8AL,20131221
7801,BINGO HALL (VACANT) AND PREMISES,73-79 Church Lane,Ferryhill,Co Durham,,,DL17 8LT,20060401
7930,HALL AND PREMISES,Shldon Musical Skills Centre R/o 13,Church Street,Shildon,Co Durham,,DL4 1DS,20100401
7932,WORKSHOP AND PREMISES,Workshop,R/o 13 Church Street,Shildon,Co Durham,,DL4 1DS,20010101
8520,PUBLIC HOUSE AND PREMISES,North Eastern Hotel,Clyde Terrace,Spennymoor,Co Durham,,DL16 7TQ,20140122
9144,SHOP AND PREMISES,40 Coronation Avenue,Shildon,Co Durham,,,DL4 2AD,20140314
9491,SHOP AND PREMISES,33 Craddock Street,Spennymoor,Co Durham,,,DL16 7SZ,20010624
10001009522,SHOP AND PREMISES,45c High Street,Durham,,,,DH1 3UL,20161110
10001009731,MUSEUM AND PREMISES,DLI Museum,Aykley Heads,Durham,,,DH1 5TU,20170224
10001009868,OFFICES AND PREMISES,Gatehouses Suite,Palatine House,Belmont Business Park,Belmont,Durham,DH1 1TW,20151031
10001009870,OFFICES AND PREMISES,Hatfield Suite,Palatine House,Belmont Business Park,Belmont,Durham,DH1 1TW,20151101
10001010281,HOTEL AND PREMISES,Hallgarth Manor Hotel,High Pittington,Durham,,,DH6 1AB,20170109
10001010299,WORKSHOP AND PREMISES,Unit 9,Evans Business Park,Belmont Industrial Estate,Belmont,Durham,DH1 1SE,20160316
10001010774,WORKSHOP AND PREMISES,Unit 47,Dragonville Industrial Park,Gilesgate Moor,Durham,,DH1 2XU,20161010
10001010775,WORKSHOP AND PREMISES,Unit 48,Dragonville Industrial Park,Gilesgate Moor,Durham,,DH1 2XU,20150201
10001010931,OFFICES AND PREMISES,Salvus House,Aykley Heads,Durham,,,DH1 5TS,20170102
10013260032,OFFICES AND PREMISES,Office 7 Durham Workspace,Abbey Road,Pity Me,Durham,,DH1 5JZ,20160601
10013260059,CAFE AND PREMISES,Unit N12,Tursdale Business Park,Tursdale,Durham,,DH6 5PG,20150721
